"tct_id","tct_link","topic_name","rel_count","occur_count","title_count"
22256,"http://nyu.infoloom.nyc/basket/22256","Woman",588,52,3
11796,"http://nyu.infoloom.nyc/basket/11796","self",515,10,4
26738,"http://nyu.infoloom.nyc/basket/26738","American",503,4,1
11928,"http://nyu.infoloom.nyc/basket/11928","United States of America",467,66,7
26441,"http://nyu.infoloom.nyc/basket/26441","studies",422,8,2
11728,"http://nyu.infoloom.nyc/basket/11728","School(s)",416,18,3
46072,"http://nyu.infoloom.nyc/basket/46072","class, the",404,1,1
20314,"http://nyu.infoloom.nyc/basket/20314","rights",398,19,2
7392,"http://nyu.infoloom.nyc/basket/7392","universities",374,3,1
7777,"http://nyu.infoloom.nyc/basket/7777","state, the",372,26,2
14794,"http://nyu.infoloom.nyc/basket/14794","Theory",361,2,2
18416,"http://nyu.infoloom.nyc/basket/18416","Law, the",361,15,5
13842,"http://nyu.infoloom.nyc/basket/13842","Social",321,0,0
11138,"http://nyu.infoloom.nyc/basket/11138","Families",300,36,6
10588,"http://nyu.infoloom.nyc/basket/10588","Public (the)",298,13,2
13453,"http://nyu.infoloom.nyc/basket/13453","Political",291,0,0
21744,"http://nyu.infoloom.nyc/basket/21744","life",271,2,1
13935,"http://nyu.infoloom.nyc/basket/13935","war",266,5,2
26141,"http://nyu.infoloom.nyc/basket/26141","Clinton, William Jefferson",263,61,12
43427,"http://nyu.infoloom.nyc/basket/43427","Project",255,0,0
15692,"http://nyu.infoloom.nyc/basket/15692","art",253,10,4
265,"http://nyu.infoloom.nyc/basket/265","film(s)",246,34,3
74,"http://nyu.infoloom.nyc/basket/74","learning",245,8,2
12073,"http://nyu.infoloom.nyc/basket/12073","Characters",240,30,4
13787,"http://nyu.infoloom.nyc/basket/13787","Relationship(s)",240,3,2
11510,"http://nyu.infoloom.nyc/basket/11510","media",233,7,3
25573,"http://nyu.infoloom.nyc/basket/25573","work",228,4,2
16200,"http://nyu.infoloom.nyc/basket/16200","acts",227,0,0
13953,"http://nyu.infoloom.nyc/basket/13953","World",226,0,0
62,"http://nyu.infoloom.nyc/basket/62","culture(s)",224,56,8
8969,"http://nyu.infoloom.nyc/basket/8969","identity",224,34,6
7598,"http://nyu.infoloom.nyc/basket/7598","Dickens, Charles",219,9,4
12886,"http://nyu.infoloom.nyc/basket/12886","Cultural",219,0,0
36499,"http://nyu.infoloom.nyc/basket/36499","Gays",213,0,0
26768,"http://nyu.infoloom.nyc/basket/26768","Blacks",210,1,1
14034,"http://nyu.infoloom.nyc/basket/14034","Freud, Sigmund",205,105,22
16086,"http://nyu.infoloom.nyc/basket/16086","Lesbians",199,1,1
13522,"http://nyu.infoloom.nyc/basket/13522","power",198,57,5
20384,"http://nyu.infoloom.nyc/basket/20384","justice",194,35,3
27418,"http://nyu.infoloom.nyc/basket/27418","history",191,7,2
7900,"http://nyu.infoloom.nyc/basket/7900","prisons",188,25,3
5472,"http://nyu.infoloom.nyc/basket/5472","psychology",187,20,5
26849,"http://nyu.infoloom.nyc/basket/26849","Economics",185,2,1
16509,"http://nyu.infoloom.nyc/basket/16509","Mother, the",181,3,2
16175,"http://nyu.infoloom.nyc/basket/16175","health",178,0,0
22080,"http://nyu.infoloom.nyc/basket/22080","sex",178,7,1
3135,"http://nyu.infoloom.nyc/basket/3135","writing",177,3,1
20518,"http://nyu.infoloom.nyc/basket/20518","legal",175,0,0
73,"http://nyu.infoloom.nyc/basket/73","education",174,5,2
13534,"http://nyu.infoloom.nyc/basket/13534","President(ial)",173,0,0
156,"http://nyu.infoloom.nyc/basket/156","students",172,2,1
18578,"http://nyu.infoloom.nyc/basket/18578","Jews",172,9,1
13083,"http://nyu.infoloom.nyc/basket/13083","International",171,0,0
7907,"http://nyu.infoloom.nyc/basket/7907","races",168,100,8
7901,"http://nyu.infoloom.nyc/basket/7901","prostitution",164,24,6
1165,"http://nyu.infoloom.nyc/basket/1165","hip-hop",161,10,2
13424,"http://nyu.infoloom.nyc/basket/13424","policy",161,35,2
15054,"http://nyu.infoloom.nyc/basket/15054","Humanities",161,0,0
13856,"http://nyu.infoloom.nyc/basket/13856","Development",160,3,1
31361,"http://nyu.infoloom.nyc/basket/31361","Men",160,0,0
15581,"http://nyu.infoloom.nyc/basket/15581","Roles",159,1,1
7896,"http://nyu.infoloom.nyc/basket/7896","politics",156,11,4
21765,"http://nyu.infoloom.nyc/basket/21765","love",153,44,3
45891,"http://nyu.infoloom.nyc/basket/45891","Humans",151,2,1
18241,"http://nyu.infoloom.nyc/basket/18241","unions",150,1,1
17313,"http://nyu.infoloom.nyc/basket/17313","community",149,0,0
11204,"http://nyu.infoloom.nyc/basket/11204","gender",148,63,9
28123,"http://nyu.infoloom.nyc/basket/28123","Rilke, Rainier Maria",148,8,2
11273,"http://nyu.infoloom.nyc/basket/11273","home",147,4,2
12933,"http://nyu.infoloom.nyc/basket/12933","Experience(s)",147,7,1
90,"http://nyu.infoloom.nyc/basket/90","games",146,9,1
3033,"http://nyu.infoloom.nyc/basket/3033","science",145,27,4
11699,"http://nyu.infoloom.nyc/basket/11699","research",145,0,0
13237,"http://nyu.infoloom.nyc/basket/13237","labor",144,2,1
11868,"http://nyu.infoloom.nyc/basket/11868","society",143,0,0
11902,"http://nyu.infoloom.nyc/basket/11902","technology",143,2,2
937,"http://nyu.infoloom.nyc/basket/937","timing",139,7,3
2146,"http://nyu.infoloom.nyc/basket/2146","Case study",139,15,1
2340,"http://nyu.infoloom.nyc/basket/2340","Networking",138,60,4
8782,"http://nyu.infoloom.nyc/basket/8782","defining",138,2,1
32934,"http://nyu.infoloom.nyc/basket/32934","Military",138,0,0
9790,"http://nyu.infoloom.nyc/basket/9790","New York",134,27,1
13369,"http://nyu.infoloom.nyc/basket/13369","Party",134,2,1
12375,"http://nyu.infoloom.nyc/basket/12375","Analysis",132,8,1
20712,"http://nyu.infoloom.nyc/basket/20712","Defense",132,0,0
12879,"http://nyu.infoloom.nyc/basket/12879","crime",128,5,2
16335,"http://nyu.infoloom.nyc/basket/16335","death",127,29,6
3283,"http://nyu.infoloom.nyc/basket/3283","California",126,10,4
12495,"http://nyu.infoloom.nyc/basket/12495","Action",124,3,1
81,"http://nyu.infoloom.nyc/basket/81","modeling",123,1,1
36362,"http://nyu.infoloom.nyc/basket/36362","Feminist",123,0,0
4290,"http://nyu.infoloom.nyc/basket/4290","Vietnam",121,8,3
3341,"http://nyu.infoloom.nyc/basket/3341","Clinton -- Hillary Rodham",120,23,6
21919,"http://nyu.infoloom.nyc/basket/21919","Object",120,0,0
382,"http://nyu.infoloom.nyc/basket/382","African Americans",119,28,5
15138,"http://nyu.infoloom.nyc/basket/15138","literature",119,14,3
13585,"http://nyu.infoloom.nyc/basket/13585","Problem(s)",118,0,0
34596,"http://nyu.infoloom.nyc/basket/34596","Clinton, William J., psychology of",115,0,0
46092,"http://nyu.infoloom.nyc/basket/46092","Ferenczi, Sandor",115,10,2
15948,"http://nyu.infoloom.nyc/basket/15948","Bisexuals",114,0,0
2981,"http://nyu.infoloom.nyc/basket/2981","poetry",112,8,1
21376,"http://nyu.infoloom.nyc/basket/21376","children",112,25,4
21980,"http://nyu.infoloom.nyc/basket/21980","Principles",111,3,1
26860,"http://nyu.infoloom.nyc/basket/26860","English",111,0,0
7548,"http://nyu.infoloom.nyc/basket/7548","class",110,52,3
1668,"http://nyu.infoloom.nyc/basket/1668","nature",109,18,4
7320,"http://nyu.infoloom.nyc/basket/7320","teacher(s)",108,21,2
41,"http://nyu.infoloom.nyc/basket/41","teaching",107,0,0
294,"http://nyu.infoloom.nyc/basket/294","Japan",107,27,6
7672,"http://nyu.infoloom.nyc/basket/7672","feminism",107,114,8
13928,"http://nyu.infoloom.nyc/basket/13928","Views",107,2,1
35874,"http://nyu.infoloom.nyc/basket/35874","Change",107,12,1
7995,"http://nyu.infoloom.nyc/basket/7995","image(s)",106,4,1
24821,"http://nyu.infoloom.nyc/basket/24821","Forces",106,1,1
24921,"http://nyu.infoloom.nyc/basket/24921","Languages",106,21,4
45247,"http://nyu.infoloom.nyc/basket/45247","Shin Films",106,3,1
12377,"http://nyu.infoloom.nyc/basket/12377","rhetoric",103,16,4
18335,"http://nyu.infoloom.nyc/basket/18335","Church, churches",103,2,1
767,"http://nyu.infoloom.nyc/basket/767","Michigan.",102,1,1
4244,"http://nyu.infoloom.nyc/basket/4244","University of Michigan -- Prison Creative Arts Project mission statements",102,2,1
47351,"http://nyu.infoloom.nyc/basket/47351","Government(s)",102,0,0
3949,"http://nyu.infoloom.nyc/basket/3949","Prison Creative Arts Project (PCAP)",101,0,0
8811,"http://nyu.infoloom.nyc/basket/8811","Digital Humanities",101,0,0
12500,"http://nyu.infoloom.nyc/basket/12500","Activity",101,1,1
871,"http://nyu.infoloom.nyc/basket/871","racism",100,62,9
6789,"http://nyu.infoloom.nyc/basket/6789","sexuality",100,69,9
13532,"http://nyu.infoloom.nyc/basket/13532","Presidency",100,2,1
12983,"http://nyu.infoloom.nyc/basket/12983","leader(ship)",98,30,2
14647,"http://nyu.infoloom.nyc/basket/14647","Debs, Eugene",98,10,5
11641,"http://nyu.infoloom.nyc/basket/11641","parents",97,37,4
19161,"http://nyu.infoloom.nyc/basket/19161","freedom",97,13,2
29622,"http://nyu.infoloom.nyc/basket/29622","child",97,0,0
4323,"http://nyu.infoloom.nyc/basket/4323","Weider, Katherine -- Acts of Art: The Prison Creative Arts Project",96,1,1
5761,"http://nyu.infoloom.nyc/basket/5761","property",93,0,0
15852,"http://nyu.infoloom.nyc/basket/15852","religion",93,16,4
16380,"http://nyu.infoloom.nyc/basket/16380","Father(s)",93,11,3
28565,"http://nyu.infoloom.nyc/basket/28565","abuse",93,2,1
29537,"http://nyu.infoloom.nyc/basket/29537","Criminals",92,0,0
40727,"http://nyu.infoloom.nyc/basket/40727","youth",92,3,1
43892,"http://nyu.infoloom.nyc/basket/43892","body/bodies",92,14,2
9574,"http://nyu.infoloom.nyc/basket/9574","civil rights",91,6,2
13940,"http://nyu.infoloom.nyc/basket/13940","welfare",91,2,1
23976,"http://nyu.infoloom.nyc/basket/23976","Los Angeles",91,2,1
7649,"http://nyu.infoloom.nyc/basket/7649","Eliot, George",88,13,3
11431,"http://nyu.infoloom.nyc/basket/11431","leveling",88,13,2
44331,"http://nyu.infoloom.nyc/basket/44331","Poe, Edgar Allan",88,13,3
10821,"http://nyu.infoloom.nyc/basket/10821","Assessment(s)",87,16,3
21836,"http://nyu.infoloom.nyc/basket/21836","Meaning",87,2,1
25721,"http://nyu.infoloom.nyc/basket/25721","Christians",87,0,0
2307,"http://nyu.infoloom.nyc/basket/2307","Market",86,20,1
21402,"http://nyu.infoloom.nyc/basket/21402","Control",85,0,0
313,"http://nyu.infoloom.nyc/basket/313","music",84,34,6
8541,"http://nyu.infoloom.nyc/basket/8541","values",84,74,5
23303,"http://nyu.infoloom.nyc/basket/23303","anti-Semitism",83,56,8
36866,"http://nyu.infoloom.nyc/basket/36866","convention",83,0,0
46051,"http://nyu.infoloom.nyc/basket/46051","Nation",82,10,1
12575,"http://nyu.infoloom.nyc/basket/12575","judgment",81,28,2
12650,"http://nyu.infoloom.nyc/basket/12650","Campaign(s) and campaigning",81,17,2
17643,"http://nyu.infoloom.nyc/basket/17643","slavery",80,30,8
26904,"http://nyu.infoloom.nyc/basket/26904","Immigrants",80,0,0
12494,"http://nyu.infoloom.nyc/basket/12494","Ambition",79,0,0
23857,"http://nyu.infoloom.nyc/basket/23857","Age",79,3,1
25321,"http://nyu.infoloom.nyc/basket/25321","Capital",79,1,1
27192,"http://nyu.infoloom.nyc/basket/27192","Whites",79,2,1
5625,"http://nyu.infoloom.nyc/basket/5625","Criticism",78,9,1
17350,"http://nyu.infoloom.nyc/basket/17350","discrimination",78,15,4
31217,"http://nyu.infoloom.nyc/basket/31217","Courts",78,2,1
31689,"http://nyu.infoloom.nyc/basket/31689","difference",78,38,3
191,"http://nyu.infoloom.nyc/basket/191","stories",77,41,2
12842,"http://nyu.infoloom.nyc/basket/12842","colleges",77,3,2
16095,"http://nyu.infoloom.nyc/basket/16095","marriage",76,31,5
10358,"http://nyu.infoloom.nyc/basket/10358","Influence",75,2,2
10940,"http://nyu.infoloom.nyc/basket/10940","communication",75,0,0
13775,"http://nyu.infoloom.nyc/basket/13775","Reality",75,0,0
22563,"http://nyu.infoloom.nyc/basket/22563","Jay, John",75,6,2
9231,"http://nyu.infoloom.nyc/basket/9231","Revolutions",74,7,2
13902,"http://nyu.infoloom.nyc/basket/13902","Trade",74,2,1
26946,"http://nyu.infoloom.nyc/basket/26946","Japanese",74,0,0
41257,"http://nyu.infoloom.nyc/basket/41257","reform",74,15,2
13601,"http://nyu.infoloom.nyc/basket/13601","Psycho-analysis",73,6,3
39776,"http://nyu.infoloom.nyc/basket/39776","United States -- and V. S. Naipaul",73,3,1
40171,"http://nyu.infoloom.nyc/basket/40171","Girls",73,0,0
31185,"http://nyu.infoloom.nyc/basket/31185","boys",72,10,1
40352,"http://nyu.infoloom.nyc/basket/40352","Friends",72,0,0
30429,"http://nyu.infoloom.nyc/basket/30429","crisis",71,1,1
38166,"http://nyu.infoloom.nyc/basket/38166","Support",71,0,0
17845,"http://nyu.infoloom.nyc/basket/17845","God",70,2,1
4803,"http://nyu.infoloom.nyc/basket/4803","spaces",69,5,2
5385,"http://nyu.infoloom.nyc/basket/5385","fear",69,71,3
9788,"http://nyu.infoloom.nyc/basket/9788","New Orleans",68,1,1
147,"http://nyu.infoloom.nyc/basket/147","performance",67,6,3
6421,"http://nyu.infoloom.nyc/basket/6421","identification",67,29,6
9792,"http://nyu.infoloom.nyc/basket/9792","News",67,41,1
15435,"http://nyu.infoloom.nyc/basket/15435","Fantasies",67,21,3
236,"http://nyu.infoloom.nyc/basket/236","constitution",66,4,1
295,"http://nyu.infoloom.nyc/basket/295","journalism",65,32,3
19666,"http://nyu.infoloom.nyc/basket/19666","Unemployment.",65,3,2
12751,"http://nyu.infoloom.nyc/basket/12751","Ideals",64,15,2
22333,"http://nyu.infoloom.nyc/basket/22333","authority",64,13,4
28804,"http://nyu.infoloom.nyc/basket/28804","Exploitation",64,0,0
1858,"http://nyu.infoloom.nyc/basket/1858","Construction",63,0,0
3038,"http://nyu.infoloom.nyc/basket/3038","Shakespeare, William",63,19,7
11245,"http://nyu.infoloom.nyc/basket/11245","Giselle (class member) -- music teacher's relationship",63,1,1
11497,"http://nyu.infoloom.nyc/basket/11497","Max (class member) -- music teacher's relationship",63,1,1
11790,"http://nyu.infoloom.nyc/basket/11790","Sedat (class member) -- music teacher's relationship",63,1,1
12985,"http://nyu.infoloom.nyc/basket/12985","Ego",63,10,2
13134,"http://nyu.infoloom.nyc/basket/13134","health care",63,8,2
33368,"http://nyu.infoloom.nyc/basket/33368","AIDS",63,33,7
34709,"http://nyu.infoloom.nyc/basket/34709","Clinton, William J., presidency of",63,0,0
2678,"http://nyu.infoloom.nyc/basket/2678","ethics",62,34,6
16033,"http://nyu.infoloom.nyc/basket/16033","Gay men",62,15,1
44329,"http://nyu.infoloom.nyc/basket/44329","Hurston, Zora Neale",62,14,4
173,"http://nyu.infoloom.nyc/basket/173","responses",61,2,1
2485,"http://nyu.infoloom.nyc/basket/2485","authors",61,34,1
7742,"http://nyu.infoloom.nyc/basket/7742","homosexuality",61,20,5
9858,"http://nyu.infoloom.nyc/basket/9858","Ratings",61,9,1
21966,"http://nyu.infoloom.nyc/basket/21966","play",61,2,1
30875,"http://nyu.infoloom.nyc/basket/30875","Phillips, Wendell",61,7,2
7076,"http://nyu.infoloom.nyc/basket/7076","high school",60,0,0
13326,"http://nyu.infoloom.nyc/basket/13326","narcissism",60,44,8
28805,"http://nyu.infoloom.nyc/basket/28805","Sexual exploitation",60,2,1
1728,"http://nyu.infoloom.nyc/basket/1728","wikis",59,10,2
2827,"http://nyu.infoloom.nyc/basket/2827","knowledge",59,11,3
10526,"http://nyu.infoloom.nyc/basket/10526","Olympics",59,2,2
10846,"http://nyu.infoloom.nyc/basket/10846","behavior",59,1,1
15269,"http://nyu.infoloom.nyc/basket/15269","Thomas, Justice Clarence",59,10,4
15396,"http://nyu.infoloom.nyc/basket/15396","Conflict",59,16,2
16269,"http://nyu.infoloom.nyc/basket/16269","Rilke's writings",59,0,0
26292,"http://nyu.infoloom.nyc/basket/26292","United States military, and discrimination against gay men and lesbians -- and racial bias",59,1,1
33217,"http://nyu.infoloom.nyc/basket/33217","Interpretation",59,3,1
10700,"http://nyu.infoloom.nyc/basket/10700","Trust",58,6,2
13389,"http://nyu.infoloom.nyc/basket/13389","Personal",58,0,0
13407,"http://nyu.infoloom.nyc/basket/13407","personality",58,7,2
16386,"http://nyu.infoloom.nyc/basket/16386","Father -- images of the father in Rilke's writings",58,6,1
17823,"http://nyu.infoloom.nyc/basket/17823","Forms",58,3,1
21572,"http://nyu.infoloom.nyc/basket/21572","Female, the",58,0,0
12258,"http://nyu.infoloom.nyc/basket/12258","Jobs",57,4,3
13178,"http://nyu.infoloom.nyc/basket/13178","intelligence",57,18,3
13906,"http://nyu.infoloom.nyc/basket/13906","Transference",57,32,6
16271,"http://nyu.infoloom.nyc/basket/16271","Satiric irony in Rilke's writings",57,3,1
16272,"http://nyu.infoloom.nyc/basket/16272","Transformation in Rilke's writings",57,6,1
16824,"http://nyu.infoloom.nyc/basket/16824","Transformation in Rilke's writings -- in the Ninth Elegy",57,4,1
36079,"http://nyu.infoloom.nyc/basket/36079","Strategy",57,0,0
329,"http://nyu.infoloom.nyc/basket/329","press -- the",56,17,1
6108,"http://nyu.infoloom.nyc/basket/6108","computers",56,23,4
7407,"http://nyu.infoloom.nyc/basket/7407","violence",56,4,2
7459,"http://nyu.infoloom.nyc/basket/7459","theater",56,6,1
11541,"http://nyu.infoloom.nyc/basket/11541","Megan (class member) -- on teachers' relationships and learning",56,1,1
25224,"http://nyu.infoloom.nyc/basket/25224","Thoughts",56,2,1
27517,"http://nyu.infoloom.nyc/basket/27517","Metaphors",56,2,1
41341,"http://nyu.infoloom.nyc/basket/41341","westerns",56,3,2
13174,"http://nyu.infoloom.nyc/basket/13174","Information",55,6,1
17934,"http://nyu.infoloom.nyc/basket/17934","Judaism",55,12,4
26293,"http://nyu.infoloom.nyc/basket/26293","United States v. Georgia Power, 474 F.2d 906 (5th Cir. 1973)",55,1,1
26657,"http://nyu.infoloom.nyc/basket/26657","Loss",55,10,3
33932,"http://nyu.infoloom.nyc/basket/33932","Catholics",55,2,1
9121,"http://nyu.infoloom.nyc/basket/9121","Michigan State University -- Center for Digital Humanities and Social Sciences",54,2,1
11199,"http://nyu.infoloom.nyc/basket/11199","future",54,0,0
11700,"http://nyu.infoloom.nyc/basket/11700","resistance",54,13,4
12991,"http://nyu.infoloom.nyc/basket/12991","Emotional",54,1,1
13338,"http://nyu.infoloom.nyc/basket/13338","Neurosis",54,2,1
13762,"http://nyu.infoloom.nyc/basket/13762","rage",54,35,5
13876,"http://nyu.infoloom.nyc/basket/13876","Style",54,8,3
18464,"http://nyu.infoloom.nyc/basket/18464","Glattfelder, Gyula -- and anti-Jewish legislation",54,7,1
24641,"http://nyu.infoloom.nyc/basket/24641","Truth",54,0,0
32303,"http://nyu.infoloom.nyc/basket/32303","Employment",54,0,0
32811,"http://nyu.infoloom.nyc/basket/32811","HIV",54,5,2
46122,"http://nyu.infoloom.nyc/basket/46122","genocide",54,19,3
1423,"http://nyu.infoloom.nyc/basket/1423","poverty",53,22,6
2431,"http://nyu.infoloom.nyc/basket/2431","United Nations",53,33,5
5034,"http://nyu.infoloom.nyc/basket/5034","Wright, James",53,12,1
9742,"http://nyu.infoloom.nyc/basket/9742","magazines",53,12,2
10960,"http://nyu.infoloom.nyc/basket/10960","connection",53,5,1
13916,"http://nyu.infoloom.nyc/basket/13916","Unconscious, the",53,10,2
15477,"http://nyu.infoloom.nyc/basket/15477","Incest",53,3,1
46071,"http://nyu.infoloom.nyc/basket/46071","Connection with others",53,1,1
768,"http://nyu.infoloom.nyc/basket/768","Michigan, University of",52,37,5
4071,"http://nyu.infoloom.nyc/basket/4071","Reagan, President Ronald",52,50,13
13080,"http://nyu.infoloom.nyc/basket/13080","Foreign",52,0,0
21399,"http://nyu.infoloom.nyc/basket/21399","consciousness",52,4,2
26291,"http://nyu.infoloom.nyc/basket/26291","United States military, and discrimination against gay men and lesbians",52,2,1
29011,"http://nyu.infoloom.nyc/basket/29011","Liberation",52,3,1
42153,"http://nyu.infoloom.nyc/basket/42153","Deejaying",52,11,1
1911,"http://nyu.infoloom.nyc/basket/1911","human rights",51,38,4
9412,"http://nyu.infoloom.nyc/basket/9412","University of Nebraska-Lincoln -- Center for Digital Research in the Humanities (CDRH)",51,5,1
