Basket ID,Basket Display Name,Status,Reviewed On,Reviewed,On,Reviewed By
19988,"Law, and John Jay's intellectual system","Reviewed, Changed",6/15/2017 17:23:26,6/15/2017,17:23:26,Alex
19985,"Kissam, Benjamin, and John Jay's legal apprenticeship","Reviewed, Changed",6/15/2017 17:22:24,6/15/2017,17:22:24,Alex
19935,Human nature -- John Jay's views of,"Reviewed, Changed",6/15/2017 17:21:28,6/15/2017,17:21:28,Alex
19904,Great Britain -- John Jay's posture toward,"Reviewed, Changed",6/15/2017 17:20:28,6/15/2017,17:20:28,Alex
19903,"Great Britain -- and John Jay's deference to, in law practice","Reviewed, Changed",6/15/2017 17:19:45,6/15/2017,17:19:45,Alex
19830,"Contract law -- and centrality of, in John Jay's jurisprudence","Reviewed, Changed",6/15/2017 14:48:34,6/15/2017,14:48:34,Alex
19825,Continental Congress -- and John Jay's role as secretary of foreign affairs,"Reviewed, Changed",6/15/2017 14:47:26,6/15/2017,14:47:26,Alex
19824,Continental Congress -- and John Jay's presidency,"Reviewed, Changed",6/15/2017 14:46:00,6/15/2017,14:46:00,Alex
19799,Citizenship -- John Jay's views of,"Reviewed, Changed",6/15/2017 14:43:35,6/15/2017,14:43:35,Alex
19798,Citizenship -- John Jay's use of grand jury charges to teach rudiments of,"Reviewed, Changed",6/15/2017 14:42:28,6/15/2017,14:42:28,Alex
19756,Articles of Confederation -- and John Jay's experience with,"Reviewed, Changed",6/14/2017 17:28:12,6/14/2017,17:28:12,Alex
19750,American Revolution -- and relationship to John Jay's career,"Reviewed, Changed",6/14/2017 17:27:22,6/14/2017,17:27:22,Alex
19749,American Revolution -- and John Jay's contributions to,"Reviewed, Changed",6/14/2017 17:26:14,6/14/2017,17:26:14,Alex
19740,"Agrarianism, John Jay's reliance upon -- and morality","Reviewed, Changed",6/14/2017 17:24:45,6/14/2017,17:24:45,Alex
19739,"Agrarianism, John Jay's reliance upon","Reviewed, Changed",6/14/2017 17:24:05,6/14/2017,17:24:05,Alex
29470,Violence -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 12:18:43,6/14/2017,12:18:43,Alex
29456,Victimization -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 12:18:33,6/14/2017,12:18:33,Alex
29433,United Nations -- role of Secretary-General in Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 12:18:19,6/14/2017,12:18:19,Alex
29404,Trafficking in women -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 12:17:12,6/14/2017,12:17:12,Alex
29398,Torture -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 12:16:25,6/14/2017,12:16:25,Alex
29361,"Support services, Convention Against Sexual Exploitation","Reviewed, Changed",6/14/2017 12:16:00,6/14/2017,12:16:00,Alex
29359,"Substance abuse rehabilitation, Convention Against Sexual Exploitation","Reviewed, Changed",6/14/2017 12:15:23,6/14/2017,12:15:23,Alex
29353,"Sterilization, forced, Convention Against Sexual Exploitation","Reviewed, Changed",6/14/2017 12:14:38,6/14/2017,12:14:38,Alex
29351,STDs -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 12:14:13,6/14/2017,12:14:13,Alex
29339,Slavery -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 12:13:46,6/14/2017,12:13:46,Alex
29336,"Skills-training programs, Convention Against Sexual Exploitation","Reviewed, Changed",6/14/2017 12:13:27,6/14/2017,12:13:27,Alex
29332,"Shelters, Convention Against Sexual Exploitation","Reviewed, Changed",6/14/2017 12:12:44,6/14/2017,12:12:44,Alex
29315,Sexual harassment -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 12:12:24,6/14/2017,12:12:24,Alex
