topic_id,topic_name,name_type
9640,"Foucault, Michel",Person
14034,"Freud, Sigmund",Corporation
826,The New York Times,Corporation
2822,"King, Martin Luther, Jr.",Person
3131,World War II,Corporation
6219,"Marx, Karl",Person
4071,"Reagan, President Ronald",Corporation
1123,"Derrida, Jacques",Person
2974,Plato,Person
14584,affirmative action,Corporation
26141,"Clinton, William Jefferson",Person
8512,Supreme Court (U.S.),Corporation
13209,"Jefferson, Thomas",Person
13997,"Bush, George",Person
14104,"Kohut, Heinz",Person
15335,Aristotle,Person
1380,nationalism,Person
2847,"Lincoln, Abraham",Person
3739,"X, Malcolm",Person
5561,"Bell, Derrick",Person
5577,Brown v. Board of Education (I),Corporation
9678,"Habermas, Jurgen",Corporation
23109,"James, William",Person
23262,Soviet Union,Corporation
35101,"Erikson, Erik H.",Person
35242,"Barthes, Roland",Person
40765,"Carter, Jimmy, President",Person
278,Google,Person
871,racism,Person
1096,China,Person
1252,ideology,Corporation
2098,"Weber, Max",Person
2298,liberalism,Corporation
3133,"Wright, Richard",Person
3635,"Jackson, Jesse",Person
5750,"hooks, bell",Person
6115,"Darwin, Charles",Person
6789,sexuality,Corporation
9654,"Geertz, Clifford",Person
11204,gender,Person
12333,"Nietzsche, Friedrich",Corporation
17623,"Roosevelt, Franklin Delano",Corporation
62,culture(s),Person
506,"Dewey, John",Person
1084,capitalism,Person
2130,"Benjamin, Walter",Person
3104,"Washington, George",Person
3130,World War One,Corporation
4540,"Eisenhower, Dwight D.",Person
5812,Ku Klux Klan,Corporation
7672,feminism,Person
9634,first amendment,Corporation
10623,"Sartre, Jean-Paul",Corporation
11266,"Hall, Stuart",Person
12269,"Klein, Melanie",Person
12482,"Winnicott, D. W.",Person
13326,narcissism,Corporation
14619,"Buchanan, Patrick",Person
17643,slavery,Person
21856,"Rich, Adrienne",Person
22787,rape,Person
23303,anti-Semitism,Person
940,"de Tocqueville, Alexis",Person
1536,"Twain, Mark",Person
1854,Cold War,Person
1870,democracy,Person
2248,hegemony,Person
2708,"Freire, Paolo",Corporation
2985,"Posner, Richard A.",Person
3038,"Shakespeare, William",Person
3324,"Chicago, University of",Corporation
4672,"James, Henry",Person
4701,"Wittgenstein, Ludwig",Corporation
5590,Civil Rights Act (of 1964),Corporation
5591,civil rights movement,Corporation
5855,multicultural(ism),Corporation
6047,"Williams, Patricia",Person
6908,"Bourdieu, Pierre",Person
7907,race,Person
9488,YouTube.com,Corporation
10669,stereotypes,Person
11928,United States of America,Corporation
12263,"Joyce, James",Person
13135,"Helms, Sen. Jesse",Person
13212,"Johnson, Lyndon Baines",Person
13233,"Kennedy, John F.",Person
13986,"Bowlby, John",Person
14075,"Horney, Karen",Person
14672,"Gramsci, Antonio",Person
17778,Christianity,Person
19219,individualism,Person
28905,homophobia,Person
33368,AIDS,Person
35340,"Ford, Gerald",Person
35351,"Gilligan, Carol",Person
35792,postmodernism,Person
35951,"Jameson, Fredric",Person
262,Facebook,Person
275,Germany,Person
277,globalization,Person
313,music,Person
476,CNN,Corporation
563,"Great Depression, the",Corporation
665,"King, Rodney",Person
1258,India,Person
1263,Israel,Person
1304,Korea,Person
1363,modernity,Person
1423,poverty,Person
1591,"Bakhtin, Mikhail",Corporation
1660,"Lyotard, Jean-Francois",Corporation
1713,Wikipedia,Person
1857,communism,Corporation
2048,"Said, Edward",Person
2141,Canada,Person
2238,"Goffman, Erving",Person
2242,Gulf War,Person
2445,"Williams, Raymond",Person
2653,"Dickinson, Emily",Person
2678,ethics,Person
2703,"Franklin, Benjamin",Person
2987,"Pound, Ezra",Person
3068,"Thoreau, Henry David",Person
3494,"Friedman, Milton",Person
4547,"Eliot, T. S.",Person
4626,"Hemingway, Ernest",Person
4996,The Wall Street Journal,Corporation
5648,critical race theory (CRT),Corporation
5659,"Delgado, Richard",Person
5704,"Gates, Henry Louis, Jr.",Person
6034,"Walker, Alice",Person
6126,"Douglas, Mary",Person
6184,"Haraway, Donna",Person
7455,abortion,Person
7803,socialism,Person
7839,"Mill, John Stuart",Person
7901,prostitution,Person
8563,The Washington Post,Corporation
8969,identity,Corporation
9556,"Bush, George W.",Person
9564,"Castells, Manuel",Person
9695,Holocaust,Person
9770,morality,Person
11138,Families,Person
12920,depression,Person
12945,"Dole, Senator Robert",Person
13345,"Nixon, Richard M.",Person
13809,"Roosevelt, Theodore",Person
13906,Transference,Corporation
14591,Anti-Defamation League (of B'nai B'rith),Corporation
14715,Marxism,Person
15351,autonomy,Corporation
15450,"Fromm, Erich",Person
16335,death,Person
16410,"Hume, David",Person
16479,"Lacan, Jacques",Person
17224,AFL-CIO,Corporation
17294,Roman Catholic Church,Corporation
19371,"Mead, Margaret",Person
19465,patriarchy,Corporation
19727,"Adams, John Quincy",Person
21970,pornography,Person
22326,"Arendt, Hannah",Person
27411,"Heidegger, Martin",Person
33110,"Adorno, Theodore",Person
33132,"Carter, Stephen L.",Person
35251,"Berger, Peter L.",Person
35272,"Butler, Judith",Person
35318,"Dostoevsky, Feodor",Corporation
35970,"Levi-Strauss, Claude",Person
46070,Time magazine,Person
46114,"Berlin, Sir Isaiah",Person
250,internet,Corporation
272,France,Person
347,television.,Corporation
369,Twitter,Person
379,American Association of University Professors (AAUP),Corporation
382,African Americans,Corporation
404,"Appadurai, Arjun",Corporation
768,"Michigan, University of",Corporation
825,New Yorker,Corporation
995,"Washington, D.C.",Person
1152,"Fanon, Frantz",Corporation
1201,"Gilroy, Paul",Person
1289,"Jenkins, Henry",Person
1402,"""Orientalism""",Corporation
1473,sexism,Person
1904,"Hitler, Adolf",Corporation
1974,"Tze-tung, Mao",Person
2207,empathy,Person
2231,"Giddens, Anthony",Person
2247,"Harvey, David",Person
2293,"Kuhn, Thomas",Person
2431,United Nations,Corporation
2480,Atlantic Monthly,Corporation
2664,"Douglass, Frederick",Person
2819,"Keats, John",Person
2890,modernism,Person
2994,property rights,Corporation
3045,Socrates,Person
3109,"West, Cornel",Corporation
3831,National Endowment for the Arts (NEA),Corporation
4440,"Blake, William",Person
4650,"Howe, Irving",Person
4818,Newsweek,Person
4925,"Scalia, Antonin",Person
4985,"Valery, Paul",Corporation
5011,"Whitman, Walt",Person
5091,"Yeats, William Butler",Person
5472,psychology,Person
5550,authenticity,Corporation
5646,"Crenshaw, Kimberle",Person
5844,"Morrison, Toni",Person
5857,NAACP (National Association for the Advancement of Colored People),Corporation
5998,"Spivak, Gayatri",Person
6078,"Baudelaire, Charles",Person
6080,"Bell, Daniel",Person
6117,"Deleuze, Gilles",Corporation
7497,"Bentham, Jeremy",Person
7532,"Burke, Edmund",Person
7742,homosexuality,Person
7804,masculinity,Person
8541,values,Person
8870,"Fish, Stanley",Person
9304,Stanford University,Corporation
10314,"Hayek, Friedrich",Person
12125,deconstruction,Corporation
12519,aggression,Person
13149,"Hussein, Saddam",Person
13159,identification,Corporation
13385,"Perot, Ross",Person
13522,power,Person
13762,rage,Person
13812,sadism,Person
13826,self-interest,Corporation
13882,suicide,Person
13934,"Wallace, George",Person
13948,"Wilson, Woodrow",Person
13976,"Benedict, Ruth",Person
