topic_id,number_of_words_in_topic
22256,1
11796,1
26738,1
11928,4
26441,1
11728,1
46072,2
20314,1
7392,1
7777,2
14794,1
18416,2
13842,1
11138,1
10588,2
13453,1
21744,1
13935,1
26141,3
43427,1
15692,1
265,1
74,1
12073,1
13787,1
11510,1
25573,1
16200,1
13953,1
62,1
8969,1
7598,2
12886,1
36499,1
26768,1
14034,2
16086,1
13522,1
20384,1
27418,1
7900,1
5472,1
26849,1
16509,2
16175,1
22080,1
3135,1
20518,1
73,1
13534,1
156,1
18578,1
13083,1
7907,1
7901,1
1165,2
13424,1
15054,1
13856,1
31361,1
15581,1
7896,1
21765,1
45891,1
18241,1
17313,1
11204,1
28123,3
11273,1
12933,1
90,1
3033,1
11699,1
13237,1
11868,1
11902,1
937,1
2146,2
2340,1
8782,1
32934,1
9790,2
13369,1
12375,1
20712,1
12879,1
16335,1
3283,1
12495,1
81,1
36362,1
4290,1
3341,3
21919,1
382,2
15138,1
13585,1
34596,5
46092,2
15948,1
2981,1
21376,1
21980,1
26860,1
7548,1
1668,1
7320,1
41,1
294,1
7672,1
13928,1
35874,1
7995,1
24821,1
24921,1
45247,2
12377,1
18335,2
767,1
4244,9
47351,1
3949,5
8811,2
12500,1
871,1
6789,1
13532,1
12983,1
14647,2
11641,1
19161,1
29622,1
4323,10
5761,1
15852,1
16380,1
28565,1
29537,1
40727,1
43892,2
9574,2
13940,1
23976,2
7649,2
11431,1
44331,3
10821,1
21836,1
25721,1
2307,1
21402,1
313,1
8541,1
23303,2
36866,1
46051,1
12575,1
12650,3
17643,1
26904,1
12494,1
23857,1
25321,1
27192,1
5625,1
17350,1
31217,1
31689,1
191,1
12842,1
16095,1
10358,1
10940,1
13775,1
22563,2
9231,1
13902,1
26946,1
41257,1
13601,2
39776,6
40171,1
31185,1
40352,1
30429,1
38166,1
17845,1
4803,1
5385,1
9788,2
147,1
6421,1
9792,1
15435,1
236,1
295,1
19666,1
12751,1
22333,1
28804,1
1858,1
3038,2
11245,6
11497,6
11790,6
12985,1
13134,2
33368,1
34709,5
