topic_id,number_of_words_in_topic
19988,"Law, and John Jay's intellectual system",6
19985,"Kissam, Benjamin, and John Jay's legal apprenticeship",7
19935,Human nature -- John Jay's views of,6
19904,Great Britain -- John Jay's posture toward,6
19903,"Great Britain -- and John Jay's deference to, in law practice",10
19830,"Contract law -- and centrality of, in John Jay's jurisprudence",9
19825,Continental Congress -- and John Jay's role as secretary of foreign affairs,11
19824,Continental Congress -- and John Jay's presidency,6
19799,Citizenship -- John Jay's views of,5
19798,Citizenship -- John Jay's use of grand jury charges to teach rudiments of,12
19756,Articles of Confederation -- and John Jay's experience with,8
19750,American Revolution -- and relationship to John Jay's career,8
19749,American Revolution -- and John Jay's contributions to,7
19740,"Agrarianism, John Jay's reliance upon -- and morality",7
19739,"Agrarianism, John Jay's reliance upon",5
29470,Violence -- Convention Against Sexual Exploitation,5
29456,Victimization -- Convention Against Sexual Exploitation,5
29433,United Nations -- role of Secretary-General in Convention Against Sexual Exploitation,11
29404,Trafficking in women -- Convention Against Sexual Exploitation,7
29398,Torture -- Convention Against Sexual Exploitation,5
29361,"Support services, Convention Against Sexual Exploitation",6
29359,"Substance abuse rehabilitation, Convention Against Sexual Exploitation",7
29353,"Sterilization, forced, Convention Against Sexual Exploitation",6
29351,STDs -- Convention Against Sexual Exploitation,5
29339,Slavery -- Convention Against Sexual Exploitation,5
29336,"Skills-training programs, Convention Against Sexual Exploitation",7
29332,"Shelters, Convention Against Sexual Exploitation",5
29315,Sexual harassment -- Convention Against Sexual Exploitation,6
29309,Sexual abuse -- Convention Against Sexual Exploitation,6
29305,Sex tourism -- Convention Against Sexual Exploitation,6
29264,Regulation of prostitution -- Convention Against Sexual Exploitation,7
29261,"Refugees, Convention Against Sexual Exploitation",5
29249,Rape -- Convention Against Sexual Exploitation,5
29176,Pornography -- Convention Against Sexual Exploitation,5
29073,"Mutilation, Convention Against Sexual Exploitation",5
29064,Military prostitution -- Convention Against Sexual Exploitation,6
29060,Men's rights -- Convention Against Sexual Exploitation,6
29042,Marriage -- Convention Against Sexual Exploitation,5
29023,Mail-order brides -- Convention Against Sexual Exploitation,7
28938,"Income support, Convention Against Sexual Exploitation",6
28931,Incest abuse -- Convention Against Sexual Exploitation,6
28928,Immigrant women -- Convention Against Sexual Exploitation,6
28909,"Housing assistance, Convention Against Sexual Exploitation",6
28902,Homelessness -- Convention Against Sexual Exploitation,5
28892,HIV virus -- Convention Against Sexual Exploitation,6
28879,"Health care, Convention Against Sexual Exploitation",6
28793,"Employment, Convention Against Sexual Exploitation",5
28788,Education programs -- Convention Against Sexual Exploitation,6
28780,Economic development -- Convention Against Sexual Exploitation,6
28768,"Dowry and bride price, Convention Against Sexual Exploitation",8
28730,"Day care, Convention Against Sexual Exploitation",6
28720,"Credit loans, Convention Against Sexual Exploitation",6
28713,"Counseling, Convention Against Sexual Exploitation",5
28701,Convention Against Sexual Exploitation -- 1994 draft,6
28657,Children -- Convention Against Sexual Exploitation,5
28619,"Battering, Convention Against Sexual Exploitation",5
7448,youth commentary projects -- Hip-Hop Journalism class and,8
7246,probing principle of learning -- in Hip-Hop Journalism class,9
7224,photography projects -- in Hip-Hop Journalism class,7
7110,Hip-Hop Journalism class -- Youth Radio and,7
7109,Hip-Hop Journalism class -- warm-up activities in,8
7108,Hip-Hop Journalism class -- video projects in,7
7107,Hip-Hop Journalism class -- technology resources for,7
7106,Hip-Hop Journalism class -- teaching practices in,7
7105,Hip-Hop Journalism class -- teacher in,6
7104,Hip-Hop Journalism class -- students in,6
7103,Hip-Hop Journalism class -- student reflections on,7
7102,Hip-Hop Journalism class -- structure of,6
7101,Hip-Hop Journalism class -- relationship-building in,7
7100,Hip-Hop Journalism class -- project-based learning in,8
7099,Hip-Hop Journalism class -- PowerPoint presentations in,7
7098,Hip-Hop Journalism class -- podcasts created in,7
7097,Hip-Hop Journalism class -- new learning principles and,8
7096,Hip-Hop Journalism class -- material intelligence utilized in,8
7095,Hip-Hop Journalism class -- magazine project in,7
7094,Hip-Hop Journalism class -- linking with current issues,8
7093,Hip-Hop Journalism class -- linking with academic literacy standards,9
7092,Hip-Hop Journalism class -- learning in,6
7091,Hip-Hop Journalism class -- joint productive activity in,8
7090,Hip-Hop Journalism class -- extension beyond classroom,7
7089,Hip-Hop Journalism class -- documentation of,6
7088,Hip-Hop Journalism class -- day-to-day activities in,9
7087,Hip-Hop Journalism class -- computer work in,7
7086,Hip-Hop Journalism class -- choice of title for,8
7085,Hip-Hop Journalism class -- blog creation in,7
7084,Hip-Hop Journalism class -- background for,6
7083,Hip-Hop Journalism class -- assistant in,6
7036,"experience, students' -- using in Hip-Hop Journalism class",8
7024,Hip-Hop Journalism class -- student enthusiasm about,7
6983,digital photography -- in Hip-Hop Journalism class,7
6981,digital DJ-ing -- in Hip-Hop Journalism class,8
6961,CREDE principles -- in Hip-Hop Journalism class,7
6904,blogging -- in Hip-Hop Journalism class,6
6876,activity centers -- in Hip-Hop Journalism class,7
3163,Prison Creative Arts Project (PCAP) -- role of Buzz Alexander,9
3991,Prison Creative Arts Project (PCAP) -- poetry workshops,7
4329,Prison Creative Arts Project theater workshops -- Western Wayne Correctional Facility,10
4209,Prison Creative Arts Project theater workshops -- Thumb Correctional Facility,9
4160,Prison Creative Arts Project theater workshops -- Southern Michigan Correctional Facility,10
4043,Prison Creative Arts Project theater workshops -- Southeastern High School,9
4026,Prison Creative Arts Project theater workshops -- Egeler Correctional Facility,9
4296,Prison Creative Arts Project theater workshops -- Vista Maria,8
4047,Prison Creative Arts Project theater workshops -- University of Michigan English 310,11
4046,Prison Creative Arts Project theater workshops -- university facilitators,8
4040,Prison Creative Arts Project theater workshops -- Phoenix School,8
4048,Prison Creative Arts Project theater workshops -- English 319,8
4107,Prison Creative Arts Project theater workshops -- Saginaw Correctional Facility,9
4098,Prison Creative Arts Project theater workshops -- Ryan Correctional Facility,9
4036,Prison Creative Arts Project theater workshops -- Mound Correctional Facility,9
4035,Prison Creative Arts Project theater workshops -- Michigan Reformatory,8
4032,Prison Creative Arts Project theater workshops -- Lakeland Correctional Facility,9
4031,Prison Creative Arts Project theater workshops -- Ionia Maximum Facility,9
4030,Prison Creative Arts Project theater workshops -- Huron Valley Men's Correctional Facility,11
3619,ICF International,2
4025,Prison Creative Arts Project theater workshops -- Dewey Center,8
4024,Prison Creative Arts Project theater workshops -- Crockett Technical High School,10
4023,Prison Creative Arts Project theater workshops -- crisis,7
4022,Prison Creative Arts Project theater workshops -- Cotton Correctional Facility,9
4019,Prison Creative Arts Project theater workshops -- closing,7
4018,Prison Creative Arts Project theater workshops -- Catherine Ferguson Academy,9
4017,Prison Creative Arts Project theater workshops -- Calumet Center,8
4016,Prison Creative Arts Project theater workshops -- Boysville,7
4015,Prison Creative Arts Project theater workshops -- Adrian Training School,9
4014,Prison Creative Arts Project theater workshops -- Adrian Temporary correctional facility,10
4038,Prison Creative Arts Project theater workshops -- Parr Highway Correctional Facility,10
4037,Prison Creative Arts Project theater workshops -- Parnall Correctional Facility,9
4034,Prison Creative Arts Project theater workshops -- Maxey Boys Training School,10
4033,Prison Creative Arts Project theater workshops -- Lincoln Center,8
4029,Prison Creative Arts Project theater workshops -- Henry Ford High School,10
4028,Prison Creative Arts Project theater workshops -- Gus Harrison Correctional Facility,10
4021,Prison Creative Arts Project theater workshops -- Cooper Street Correctional Facility,10
4020,Prison Creative Arts Project theater workshops -- Cooley High School,9
3981,Prison Creative Arts Project (PCAP) -- hubs,6
